State,Petrol_Rate,Diesel_Rate,Date
Maharashtra,114.52,103.91,2021-10-30
Manipur,109.96,98.32,2021-10-30
Meghalaya,103.56,96.34,2021-10-30
Mizoram,105.38,96.51,2021-10-30
Nagaland,106.96,99.53,2021-10-30
Odisha,111.09,107.65,2021-10-30
Pondicherry,106.08,101.29,2021-10-30
Punjab,110.15,100.05,2021-10-30
Rajasthan,116.35,107.6,2021-10-30
Sikkim,109.15,99.6,2021-10-30
Tamil Nadu,106.48,102.65,2021-10-30
Telangana,115.45,108.5,2021-10-30
Tripura,108.48,101.13,2021-10-30
Uttar Pradesh,105.7,97.94,2021-10-30
Uttarakhand,104.81,98.39,2021-10-30
West Bengal,110.66,101.9,2021-10-30
Andaman And Nicobar,91.45,91.3,2021-11-01
Andhra Pradesh,115.62,108.24,2021-11-01
Arunachal Pradesh,104.0,97.14,2021-11-01
Assam,105.69,98.28,2021-11-01
Bihar,115.07,106.54,2021-11-01
Chandigarh,105.22,97.77,2021-11-01
Chhatisgarh,108.12,107.06,2021-11-01
Dadra And Nagar Haveli,104.15,103.93,2021-11-01
Daman And Diu,104.03,103.81,2021-11-01
Delhi,109.34,98.07,2021-11-01
Goa,107.12,103.73,2021-11-01
Gujarat,105.94,105.7,2021-11-01
Haryana,106.44,98.43,2021-11-01
Himachal Pradesh,105.29,96.13,2021-11-01
Jammu And Kashmir,111.04,101.01,2021-11-01
Jharkhand,103.84,103.76,2021-11-01
Karnataka,113.73,104.64,2021-11-01
Kerala,110.46,104.3,2021-11-01
Madhya Pradesh,119.42,108.8,2021-11-01
Maharashtra,115.33,104.77,2021-11-01
Manipur,111.09,99.43,2021-11-01
Meghalaya,104.22,97.03,2021-11-01
Mizoram,106.51,97.65,2021-11-01
Nagaland,107.99,100.6,2021-11-01
Odisha,112.64,109.27,2021-11-01
Pondicherry,107.13,102.41,2021-11-01
Punjab,111.08,101.01,2021-11-01
Rajasthan,116.64,107.99,2021-11-01
Sikkim,110.25,100.8,2021-11-01
Tamil Nadu,107.18,103.45,2021-11-01
Telangana,115.91,109.06,2021-11-01
Tripura,109.42,102.11,2021-11-01
Uttar Pradesh,106.41,98.7,2021-11-01
Uttarakhand,105.97,99.6,2021-11-01
West Bengal,110.96,102.3,2021-11-01
Andaman And Nicobar,91.45,null,2021-11-04
Andhra Pradesh,115.62,null,2021-11-04
Arunachal Pradesh,104.0,null,2021-11-04
Assam,105.69,null,2021-11-04
Bihar,115.07,null,2021-11-04
Chandigarh,105.22,null,2021-11-04
Chhatisgarh,108.12,null,2021-11-04
Dadra And Nagar Haveli,104.15,null,2021-11-04
Daman And Diu,104.03,null,2021-11-04
Delhi,109.34,null,2021-11-04
Goa,107.12,null,2021-11-04
Gujarat,105.94,null,2021-11-04
Haryana,106.44,null,2021-11-04
Himachal Pradesh,105.29,null,2021-11-04
Jammu And Kashmir,111.04,null,2021-11-04
Jharkhand,103.84,null,2021-11-04
Karnataka,113.73,null,2021-11-04
Kerala,110.46,null,2021-11-04
Madhya Pradesh,119.42,null,2021-11-04
Maharashtra,115.33,null,2021-11-04
Manipur,111.09,null,2021-11-04
Meghalaya,104.22,null,2021-11-04
Mizoram,106.51,null,2021-11-04
Nagaland,107.99,null,2021-11-04
Odisha,112.64,null,2021-11-04
Pondicherry,107.13,null,2021-11-04
Punjab,111.08,null,2021-11-04
Rajasthan,116.64,null,2021-11-04
Sikkim,110.25,null,2021-11-04
Tamil Nadu,107.18,null,2021-11-04
Telangana,115.91,null,2021-11-04
Tripura,109.42,null,2021-11-04
Uttar Pradesh,106.41,null,2021-11-04
Uttarakhand,105.97,null,2021-11-04
West Bengal,110.96,null,2021-11-04
